# rank	piece	count	class	glyphs
84	わたし	191	multi	3
85	それは	187	multi	3
86	ある	185	multi	2
87	けて	184	multi	2
88	くれ	182	multi	2
89	まあ	180	multi	2
90	みたい	178	multi	3
91	なんで	175	multi	3
92	れて	174	multi	2
93	しく	172	multi	2
94	ただ	172	multi	2
95	これは	170	multi	3
96	おい	165	multi	2
97	言って	161	multi	3
98	よね	161	multi	2
99	とか	159	multi	2
100	ント	155	multi	2
101	早く	153	multi	2
102	ろう	150	multi	2
103	きた	149	multi	2
104	先生	149	multi	2
105	にな	148	multi	2
106	ください	148	multi	4
107	ません	147	multi	3
108	みんな	146	multi	3
109	ですよ	146	multi	3
110	そうだ	144	multi	3
111	今日	143	multi	2
112	アイ	143	multi	2
113	とは	141	multi	2
114	しない	136	multi	3
115	いま	135	multi	2
116	いった	135	multi	3
117	えて	135	multi	2
118	行く	133	multi	2
119	私は	132	multi	2
120	がある	131	multi	3
121	ねぇ	130	multi	2
122	悪い	130	multi	2
123	してる	129	multi	3
124	何か	128	multi	2
125	かい	128	multi	2
126	のお	128	multi	2
127	来た	127	multi	2
128	てる	127	multi	2
129	ですね	127	multi	3
130	あげ	127	multi	2
131	える	127	multi	2
132	します	126	multi	3
133	よかった	124	multi	4
134	だろう	123	multi	3
135	そこ	122	multi	2
136	のだ	122	multi	2
137	だけど	122	multi	3
138	しな	121	multi	2
139	ったら	121	multi	3
140	ました	118	multi	3
141	やっぱり	118	multi	4
142	たら	118	multi	2
143	つか	118	multi	2
144	なる	118	multi	2
145	れた	115	multi	2
146	より	115	multi	2
147	すごい	114	multi	3
148	れる	114	multi	2
149	わか	113	multi	2
150	いか	113	multi	2
151	わけ	112	multi	2
152	ける	111	multi	2
153	もっと	111	multi	3
154	いない	111	multi	3
155	になる	111	multi	3
156	おか	111	multi	2
157	いく	110	multi	2
158	っき	109	multi	2
159	しゃ	109	multi	2
160	たち	108	multi	2
161	せて	108	multi	2
162	ール	107	multi	2
163	くる	107	multi	2
164	見て	106	multi	2
165	とも	106	multi	2
166	のこと	105	multi	3
167	言う	104	multi	2
168	なく	104	multi	2
169	ダメ	104	multi	2
170	あった	103	multi	3
171	んじゃない	102	multi	5
172	それが	102	multi	3
173	まい	101	multi	2
174	学校	101	multi	2
175	なくて	100	multi	3
176	しま	100	multi	2
177	いで	98	multi	2
178	いつも	98	multi	3
179	そして	97	multi	3
180	かない	96	multi	3
181	れば	96	multi	2
182	の人	96	multi	2
183	してくれ	95	multi	4
184	こん	95	multi	2
185	わり	94	multi	2
186	時間	94	multi	2
187	本当に	94	multi	3
188	ちょ	93	multi	2
189	らしい	93	multi	3
190	きて	93	multi	2
191	私の	92	multi	2
192	こそ	92	multi	2
193	らない	92	multi	3
194	まま	91	multi	2
195	にして	91	multi	3
196	しよう	91	multi	3
197	したら	90	multi	3
198	今日は	90	multi	3
199	ット	89	multi	2
200	んだけど	87	multi	4
201	考え	87	multi	2
202	あと	87	multi	2
203	くな	87	multi	2
204	ずっと	86	multi	3
205	食べ	86	multi	2
206	あり	85	multi	2
207	信じ	85	multi	2
208	われ	84	multi	2
209	でしょう	84	multi	4
210	ちは	84	multi	2
211	聞いて	84	multi	3
212	になって	83	multi	4
213	気が	83	multi	2
214	お願い	82	multi	3
215	ほど	82	multi	2
216	出て	81	multi	2
217	えた	81	multi	2
218	という	80	multi	3
219	だが	80	multi	2
220	ことは	80	multi	3
221	しっ	80	multi	2
222	と思って	79	multi	4
223	少し	79	multi	2
224	がない	79	multi	3
225	かも	79	multi	2
226	人の	79	multi	2
227	そういう	79	multi	4
228	違う	78	multi	2
229	っている	78	multi	4
230	ート	77	multi	2
231	っこ	77	multi	2
232	ック	77	multi	2
233	これから	77	multi	4
234	ところ	77	multi	3
235	きっと	77	multi	3
236	行って	77	multi	3
237	人は	77	multi	2
238	わない	77	multi	3
239	もし	76	multi	2
240	本当	76	multi	2
241	いう	76	multi	2
242	シャ	76	multi	2
243	さんの	76	multi	3
244	にお	76	multi	2
245	なぁ	76	multi	2
246	なぜ	76	multi	2
247	まって	75	multi	3
248	はず	75	multi	2
249	ありが	75	multi	3
250	ありがとう	75	multi	5
251	来る	74	multi	2
252	見た	74	multi	2
253	ても	74	multi	2
254	うち	74	multi	2
255	これが	73	multi	3
256	つもり	73	multi	3
257	のが	73	multi	2
258	られた	72	multi	3
259	でした	72	multi	3
260	つけ	71	multi	2
261	ちゃんと	71	multi	4
262	せい	71	multi	2
263	キャ	71	multi	2
264	下さい	70	multi	3
265	すぐ	70	multi	2
266	さんが	70	multi	3
267	られ	70	multi	2
268	まる	70	multi	2
269	一人	70	multi	2
270	とう	70	multi	2
271	ひと	70	multi	2
272	言った	70	multi	3
273	ひとり	69	multi	3
274	明日	69	multi	2
275	おり	68	multi	2
276	私が	68	multi	2
277	それに	68	multi	3
278	になった	68	multi	4
279	ょう	68	multi	2
280	できる	67	multi	3
281	はない	67	multi	3
282	いけ	67	multi	2
283	とき	67	multi	2
284	かり	67	multi	2
285	ことを	67	multi	3
286	さんは	66	multi	3
287	ると	65	multi	2
288	パパ	65	multi	2
289	たく	65	multi	2
290	来て	64	multi	2
291	ライ	64	multi	2
292	えない	64	multi	3
293	られる	64	multi	3
294	かけ	64	multi	2
295	ード	63	multi	2
296	でき	63	multi	2
297	と思う	63	multi	3
298	コレ	63	multi	2
299	クリ	62	multi	2
300	ディ	62	multi	2
301	まったく	62	multi	4
302	います	62	multi	3
303	わかる	61	multi	3
304	まった	61	multi	3
305	はどう	61	multi	3
306	しっかり	61	multi	4
307	えば	61	multi	2
308	まり	61	multi	2
309	それで	61	multi	3
310	つき	60	multi	2
311	くて	60	multi	2
312	ハイ	60	multi	2
313	くらい	59	multi	3
314	わかり	59	multi	3
315	しょう	59	multi	3
316	知らない	59	multi	4
317	ップ	58	multi	2
318	のです	58	multi	3
319	らい	58	multi	2
320	スト	58	multi	2
321	カン	58	multi	2
322	まさ	58	multi	2
323	あなたの	58	multi	4
324	かもしれない	57	multi	6
325	やっぱ	57	multi	3
326	なのに	57	multi	3
327	なんです	57	multi	4
328	ではない	57	multi	4
329	気に	57	multi	2
330	落ち	57	multi	2
331	ってきた	57	multi	4
332	しました	56	multi	4
333	てくれ	56	multi	3
334	ため	56	multi	2
335	まず	56	multi	2
336	める	56	multi	2
337	すぎ	55	multi	2
338	しかし	55	multi	3
339	いません	55	multi	4
340	帰り	55	multi	2
341	何も	55	multi	2
342	宇宙	55	multi	2
343	があ	54	multi	2
344	人が	54	multi	2
345	よい	54	multi	2
346	として	54	multi	3
347	ひとつ	54	multi	3
348	一緒に	54	multi	3
349	もら	54	multi	2
350	気持ち	54	multi	3
351	られない	54	multi	4
352	どういう	53	multi	4
353	ってくれ	53	multi	4
354	つい	53	multi	2
355	なり	53	multi	2
356	やり	53	multi	2
357	できない	53	multi	4
358	たり	52	multi	2
359	マン	52	multi	2
360	だと	52	multi	2
361	を見	52	multi	2
362	前に	52	multi	2
363	に行	52	multi	2
364	とい	52	multi	2
365	ーン	51	multi	2
366	ませ	51	multi	2
367	とにかく	51	multi	4
368	ましょう	51	multi	4
369	自分	51	multi	2
370	チャ	51	multi	2
371	ります	50	multi	3
372	入れ	50	multi	2
373	ース	50	multi	2
374	ほう	50	multi	2
375	思い	50	multi	2
376	イト	49	multi	2
377	セン	49	multi	2
378	イン	49	multi	2
379	今の	49	multi	2
380	だし	49	multi	2
381	見え	49	multi	2
382	地球	49	multi	2
383	私も	49	multi	2
384	自分の	49	multi	3
385	ここで	49	multi	3
386	の中	49	multi	2
387	コン	48	multi	2
388	追	48	kanji1	1
389	によ	48	multi	2
390	きます	48	multi	3
391	げる	48	multi	2
392	声	48	kanji1	1
393	貴	48	kanji1	1
394	員	48	kanji1	1
395	選	48	kanji1	1
396	サイ	48	multi	2
397	春	48	kanji1	1
398	なお	48	multi	2
399	由	48	kanji1	1
400	持	47	kanji1	1
401	予	47	kanji1	1
402	ママ	47	multi	2
403	はじめ	47	multi	3
404	数	47	kanji1	1
405	大事	47	multi	2
406	しても	47	multi	3
407	三	47	kanji1	1
408	伝	47	kanji1	1
409	練	47	kanji1	1
410	桃	47	kanji1	1
411	我	46	kanji1	1
412	せる	46	multi	2
413	国	46	kanji1	1
414	二人	46	multi	2
415	めた	46	multi	2
416	負け	46	multi	2
417	初めて	45	multi	3
418	離	45	kanji1	1
419	安心	45	multi	2
420	の方	45	multi	2
421	のも	45	multi	2
422	持って	45	multi	3
423	解	45	kanji1	1
424	聞いた	45	multi	3
425	羅	45	kanji1	1
426	師	45	kanji1	1
427	同じ	45	multi	2
428	飛	45	kanji1	1
429	昔	45	kanji1	1
430	回	45	kanji1	1
431	幸せ	45	multi	2
432	困	45	kanji1	1
433	と思った	45	multi	4
434	赤	45	kanji1	1
435	きました	45	multi	4
436	教えて	45	multi	3
437	電話	44	multi	2
438	いち	44	multi	2
439	どんな	44	multi	3
440	然	44	kanji1	1
441	恐	44	kanji1	1
442	早	44	kanji1	1
443	呼	44	kanji1	1
444	させて	44	multi	3
445	実は	44	multi	2
446	ロー	44	multi	2
447	最近	44	multi	2
448	つく	44	multi	2
449	勉	44	kanji1	1
450	れない	43	multi	3
451	さて	43	multi	2
452	なんと	43	multi	3
453	もらう	43	multi	3
454	社	43	kanji1	1
455	邪	43	kanji1	1
456	音	43	kanji1	1
457	したい	43	multi	3
458	だったら	43	multi	4
459	みて	43	multi	2
460	番	43	kanji1	1
461	気づ	43	multi	2
462	女の子	43	multi	3
463	できた	43	multi	3
464	芹	43	kanji1	1
465	城	43	kanji1	1
466	萌	43	kanji1	1
467	ように	42	multi	3
468	すぎる	42	multi	3
469	見える	42	multi	3
470	もない	42	multi	3
471	に入	42	multi	2
472	甘	42	kanji1	1
473	ないと	42	multi	3
474	言い	42	multi	2
475	いらっしゃ	42	multi	5
476	世界	42	multi	2
477	代	42	kanji1	1
478	馬	42	kanji1	1
479	モン	42	multi	2
480	学	42	kanji1	1
481	行き	42	multi	2
482	光	42	kanji1	1
483	ような	42	multi	3
484	ことが	42	multi	3
485	とり	42	multi	2
486	好きな	42	multi	3
487	っていた	42	multi	4
488	わかって	42	multi	4
489	まぁ	42	multi	2
490	止	41	kanji1	1
491	など	41	multi	2
492	ほしい	41	multi	3
493	新	41	kanji1	1
494	あたり	41	multi	3
495	谷	41	kanji1	1
496	リー	40	multi	2
497	船	40	kanji1	1
498	があった	40	multi	4
499	感	40	kanji1	1
500	運	40	kanji1	1
501	重	40	kanji1	1
502	パン	40	multi	2
503	され	40	multi	2
504	張	40	kanji1	1
505	待ち	40	multi	2
506	通り	40	multi	2
507	優	40	kanji1	1
508	久しぶり	40	multi	4
509	やら	40	multi	2
510	売	40	kanji1	1
511	眠	40	kanji1	1
512	関	40	kanji1	1
513	イヤ	40	multi	2
514	守	40	kanji1	1
515	思う	40	multi	2
516	思い出	40	multi	3
517	文	40	kanji1	1
518	ありません	40	multi	5
519	生まれ	40	multi	3
520	サン	40	multi	2
521	化	39	kanji1	1
522	考えて	39	multi	3
523	すごく	39	multi	3
524	近	39	kanji1	1
525	かけて	39	multi	3
526	ほうが	39	multi	3
527	坊	39	kanji1	1
528	なのか	39	multi	3
529	どれ	39	multi	2
530	ってくる	39	multi	4
531	火	39	kanji1	1
532	ここまで	39	multi	4
533	博士	39	multi	2
534	ばかり	39	multi	3
535	都	39	kanji1	1
536	院	39	kanji1	1
537	トラ	39	multi	2
538	捨て	39	multi	2
539	軍	38	kanji1	1
540	バイ	38	multi	2
541	可	38	kanji1	1
542	シュ	38	multi	2
543	っていう	38	multi	4
544	起	38	kanji1	1
545	苦	38	kanji1	1
546	ること	38	multi	3
547	飲	38	kanji1	1
548	んだろう	38	multi	4
549	レー	38	multi	2
550	ございます	38	multi	5
551	始	38	kanji1	1
552	一体	38	multi	2
553	なのだ	38	multi	3
554	強い	38	multi	2
555	んですよ	38	multi	4
556	全部	38	multi	2
557	王子	38	multi	2
558	こちら	37	multi	3
559	放	37	kanji1	1
560	降	37	kanji1	1
561	ッチ	37	multi	2
562	っきり	37	multi	3
563	であ	37	multi	2
564	忘れ	37	multi	2
565	法	37	kanji1	1
566	倒	37	kanji1	1
567	最後	37	multi	2
568	らず	37	multi	2
569	弱	37	kanji1	1
570	っぱ	37	multi	2
571	念	37	kanji1	1
572	チョ	37	multi	2
573	作	37	kanji1	1
574	東	37	kanji1	1
575	いら	37	multi	2
576	ボール	37	multi	3
577	ところで	37	multi	4
578	間に	37	multi	2
579	石	37	kanji1	1
580	そうです	37	multi	4
581	取り	37	multi	2
582	てい	36	multi	2
583	冷	36	kanji1	1
584	少年	36	multi	2
585	座	36	kanji1	1
586	殿	36	kanji1	1
587	役	36	kanji1	1
588	川	36	kanji1	1
589	五	36	kanji1	1
590	キー	36	multi	2
591	使い	36	multi	2
592	エル	36	multi	2
593	楽しい	36	multi	3
594	奥	36	kanji1	1
595	もちろん	36	multi	4
596	生き	36	multi	2
597	言われ	36	multi	3
598	しかも	36	multi	3
599	みな	36	multi	2
600	問題	36	multi	2
601	葵	36	kanji1	1
602	それを	35	multi	3
603	はじ	35	multi	2
604	やはり	35	multi	3
605	助け	35	multi	2
606	もいい	35	multi	3
607	さんに	35	multi	3
608	まれ	35	multi	2
609	怖	35	kanji1	1
610	主	35	kanji1	1
611	打ち	35	multi	2
612	取	35	kanji1	1
613	一番	35	multi	2
614	吉	35	kanji1	1
615	乗	35	kanji1	1
616	つつ	35	multi	2
617	すご	35	multi	2
618	円	35	kanji1	1
619	息	35	kanji1	1
620	意味	35	multi	2
621	写	35	kanji1	1
622	引き	35	multi	2
623	なか	35	multi	2
624	官	35	kanji1	1
625	感じ	35	multi	2
626	宝	35	kanji1	1
627	された	35	multi	3
628	御	35	kanji1	1
629	メン	35	multi	2
630	変わ	35	multi	2
631	とに	34	multi	2
632	いくら	34	multi	3
633	すれば	34	multi	3
634	記	34	kanji1	1
635	理由	34	multi	2
636	服	34	kanji1	1
637	色	34	kanji1	1
638	になり	34	multi	3
639	歳	34	kanji1	1
640	良かった	34	multi	4
641	最初	34	multi	2
642	係	34	kanji1	1
643	料理	34	multi	2
644	るのは	34	multi	3
645	そこに	34	multi	3
646	とな	34	multi	2
647	わからない	34	multi	5
648	前の	34	multi	2
649	退	34	kanji1	1
650	英	34	kanji1	1
651	聞き	34	multi	2
652	りました	33	multi	4
653	ガン	33	multi	2
654	させ	33	multi	2
655	質	33	kanji1	1
656	我々	33	multi	2
657	計	33	kanji1	1
658	に行く	33	multi	3
659	願	33	kanji1	1
660	刀	33	kanji1	1
661	とりあえず	33	multi	5
662	余	33	kanji1	1
663	王	33	kanji1	1
664	渡	33	kanji1	1
665	そうな	33	multi	3
666	休み	33	multi	2
667	雨	33	kanji1	1
668	悟	33	kanji1	1
669	ので	33	multi	2
670	婆	33	kanji1	1
671	出して	32	multi	3
672	方が	32	multi	2
673	速	32	kanji1	1
674	語	32	kanji1	1
675	曜	32	kanji1	1
676	血	32	kanji1	1
677	室	32	kanji1	1
678	草	32	kanji1	1
679	出す	32	multi	2
680	海	32	kanji1	1
681	弁	32	kanji1	1
682	議	32	kanji1	1
683	夏	32	kanji1	1
684	くなって	32	multi	4
685	園	32	kanji1	1
686	アン	32	multi	2
687	四	32	kanji1	1
688	鐵	32	kanji1	1
689	状	31	kanji1	1
690	やす	31	multi	2
691	望	31	kanji1	1
692	納	31	kanji1	1
693	遊び	31	multi	2
694	猫	31	kanji1	1
695	面	31	kanji1	1
696	違	31	kanji1	1
697	遊	31	kanji1	1
698	昨日	31	multi	2
699	かる	31	multi	2
700	わた	31	multi	2
701	調	31	kanji1	1
702	新しい	31	multi	3
703	流	31	kanji1	1
704	送	31	kanji1	1
705	仁	31	kanji1	1
706	なし	30	multi	2
707	冗	30	kanji1	1
708	は何	30	multi	2
709	事故	30	multi	2
710	とって	30	multi	3
711	夫	30	kanji1	1
712	とても	30	multi	3
713	当然	30	multi	2
714	影	30	kanji1	1
715	でお	30	multi	2
716	術	30	kanji1	1
717	ている	30	multi	3
718	性	30	kanji1	1
719	大き	30	multi	2
720	なかなか	30	multi	4
721	週	30	kanji1	1
722	事を	30	multi	2
723	悲	30	kanji1	1
724	街	30	kanji1	1
725	病	30	kanji1	1
726	的	30	kanji1	1
727	ゆっくり	30	multi	4
728	きれい	30	multi	3
729	いました	30	multi	4
730	鳥	30	kanji1	1
731	している	30	multi	4
732	まして	30	multi	3
733	自分で	29	multi	3
734	日本	29	multi	2
735	だけで	29	multi	3
736	ーム	29	multi	2
737	ですから	29	multi	4
738	静	29	kanji1	1
739	腹	29	kanji1	1
740	井	29	kanji1	1
741	想	29	kanji1	1
742	紙	29	kanji1	1
743	断	29	kanji1	1
744	さえ	29	multi	2
745	しさ	29	multi	2
746	裏	29	kanji1	1
747	犯	29	kanji1	1
748	姿	29	kanji1	1
749	敵	29	kanji1	1
750	式	29	kanji1	1
751	一度	29	multi	2
752	最	29	kanji1	1
753	今は	29	multi	2
754	付	29	kanji1	1
755	っくり	29	multi	3
756	他	29	kanji1	1
757	同	29	kanji1	1
758	もらった	29	multi	4
759	プロ	29	multi	2
760	読	29	kanji1	1
761	今まで	29	multi	3
762	傷	29	kanji1	1
763	徹	29	kanji1	1
764	うまく	29	multi	3
765	いっぱい	29	multi	4
766	隊	29	kanji1	1
767	ですが	29	multi	3
768	ヴァ	29	multi	2
769	ファ	28	multi	2
770	ラン	28	multi	2
771	成	28	kanji1	1
772	おそ	28	multi	2
773	飲み	28	multi	2
774	必要	28	multi	2
775	モノ	28	multi	2
776	義	28	kanji1	1
777	迷	28	kanji1	1
778	みたいな	28	multi	4
779	さら	28	multi	2
780	ショ	28	multi	2
781	迷惑	28	multi	2
782	をお	28	multi	2
783	食べて	28	multi	3
784	される	28	multi	3
785	パイ	28	multi	2
786	徒	28	kanji1	1
787	早い	28	multi	2
788	これを	28	multi	3
789	立ち	28	multi	2
790	をして	28	multi	3
791	将	28	kanji1	1
792	腕	28	kanji1	1
793	打	28	kanji1	1
794	新聞	28	multi	2
795	ギャ	27	multi	2
796	のために	27	multi	4
797	と思	27	multi	2
798	夕	27	kanji1	1
799	点	27	kanji1	1
800	に出	27	multi	2
801	怪	27	kanji1	1
802	曲	27	kanji1	1
803	フォ	27	multi	2
804	寒	27	kanji1	1
805	起き	27	multi	2
806	ったり	27	multi	3
807	につ	27	multi	2
808	おいしい	27	multi	4
809	盛	27	kanji1	1
810	してくれる	27	multi	5
811	女子	27	multi	2
812	客	27	kanji1	1
813	てくれた	27	multi	4
814	浩	27	kanji1	1
815	冬	27	kanji1	1
816	テスト	26	multi	3
817	終	26	kanji1	1
818	限	26	kanji1	1
819	佐	26	kanji1	1
820	時は	26	multi	2
821	若	26	kanji1	1
822	合い	26	multi	2
823	久	26	kanji1	1
824	ことも	26	multi	3
825	鬼	26	kanji1	1
826	と同じ	26	multi	3
827	無い	26	multi	2
828	初	26	kanji1	1
829	武	26	kanji1	1
830	門	26	kanji1	1
831	席	26	kanji1	1
832	玉	26	kanji1	1
833	あって	26	multi	3
834	魔法	26	multi	2
835	終わり	26	multi	3
836	クラス	26	multi	3
837	課	26	kanji1	1
838	視	26	kanji1	1
839	他の	26	multi	2
840	確かに	26	multi	3
841	情	26	kanji1	1
842	集	26	kanji1	1
843	以上	26	multi	2
844	校	26	kanji1	1
845	電	26	kanji1	1
846	若い	26	multi	2
847	球	26	kanji1	1
848	授	26	kanji1	1
849	自	26	kanji1	1
850	麗	26	kanji1	1
851	源	26	kanji1	1
852	こういう	26	multi	4
853	されて	26	multi	3
854	ゲーム	26	multi	3
855	ジェ	25	multi	2
856	落	25	kanji1	1
857	にする	25	multi	3
858	歌	25	kanji1	1
859	んど	25	multi	2
860	あな	25	multi	2
861	産	25	kanji1	1
862	買	25	kanji1	1
863	テン	25	multi	2
864	バレ	25	multi	2
865	うま	25	multi	2
866	決め	25	multi	2
867	入り	25	multi	2
868	終わ	25	multi	2
869	ながら	25	multi	3
870	キレイ	25	multi	3
871	どの	25	multi	2
872	と言	25	multi	2
873	自由	25	multi	2
874	龍	25	kanji1	1
875	ジャ	25	multi	2
876	それでも	25	multi	4
877	熱	25	kanji1	1
878	哲	25	kanji1	1
879	しかない	25	multi	4
880	町	25	kanji1	1
881	ダン	25	multi	2
882	松	25	kanji1	1
883	ッド	24	multi	2
884	波	24	kanji1	1
885	界	24	kanji1	1
886	どんどん	24	multi	4
887	リン	24	multi	2
888	素	24	kanji1	1
889	美しい	24	multi	3
890	人に	24	multi	2
891	もある	24	multi	3
892	思った	24	multi	3
893	ことがある	24	multi	5
894	しましょう	24	multi	5
895	驚	24	kanji1	1
896	匹	24	kanji1	1
897	スター	24	multi	3
898	告	24	kanji1	1
899	女の	24	multi	2
900	なくな	24	multi	3
901	デート	24	multi	3
902	京	24	kanji1	1
903	大きい	24	multi	3
904	話を	24	multi	2
905	士	24	kanji1	1
906	オン	24	multi	2
907	をする	24	multi	3
908	階	24	kanji1	1
909	ために	24	multi	3
910	ワイ	24	multi	2
911	お客	24	multi	2
912	居	24	kanji1	1
913	衛	24	kanji1	1
914	まだまだ	24	multi	4
915	飯	24	kanji1	1
916	トル	24	multi	2
917	大海	24	multi	2
918	坂	24	kanji1	1
919	道士	24	multi	2
920	桐	24	kanji1	1
921	に行って	23	multi	4
922	事が	23	multi	2
923	タイ	23	multi	2
924	目の	23	multi	2
925	協	23	kanji1	1
926	警察	23	multi	2
927	酒	23	kanji1	1
928	つまり	23	multi	3
929	大人	23	multi	2
930	未来	23	multi	2
931	忙	23	kanji1	1
932	探	23	kanji1	1
933	次の	23	multi	2
934	てしまった	23	multi	5
935	すべて	23	multi	3
936	違い	23	multi	2
937	からは	23	multi	3
938	合わせ	23	multi	3
939	暑	23	kanji1	1
940	チャン	23	multi	3
941	ランス	23	multi	3
942	ピン	22	multi	2
943	ティ	22	multi	2
944	ング	22	multi	2
945	ロン	22	multi	2
946	フェ	22	multi	2
947	敗	22	kanji1	1
948	との	22	multi	2
949	見る	22	multi	2
950	半	22	kanji1	1
951	付け	22	multi	2
952	減	22	kanji1	1
953	っぽ	22	multi	2
954	ことに	22	multi	3
955	第	22	kanji1	1
956	問	22	kanji1	1
957	行った	22	multi	3
958	一緒	22	multi	2
959	根	22	kanji1	1
960	普通	22	multi	2
961	使	22	kanji1	1
962	逆	22	kanji1	1
963	器	22	kanji1	1
964	欲しい	22	multi	3
965	面白	22	multi	2
966	定	22	kanji1	1
967	寄	22	kanji1	1
968	貸	22	kanji1	1
969	カル	22	multi	2
970	輩	22	kanji1	1
971	背	22	kanji1	1
972	私たち	22	multi	3
973	好	22	kanji1	1
974	之	22	kanji1	1
975	持ち	22	multi	2
976	深	22	kanji1	1
977	ござ	22	multi	2
978	高校	22	multi	2
979	よりも	22	multi	3
980	瞳	22	kanji1	1
981	兵	22	kanji1	1
982	たくさん	22	multi	4
983	陛下	22	multi	2
984	浦	22	kanji1	1
985	極	22	kanji1	1
986	プリン	22	multi	3
987	異	21	kanji1	1
988	態	21	kanji1	1
989	ュー	21	multi	2
990	ならない	21	multi	4
991	バー	21	multi	2
992	かもしれ	21	multi	4
993	のみ	21	multi	2
994	呼び	21	multi	2
995	品	21	kanji1	1
996	について	21	multi	4
997	勢	21	kanji1	1
998	位	21	kanji1	1
999	答え	21	multi	2
1000	勇	21	kanji1	1
1001	秘密	21	multi	2
1002	情報	21	multi	2
1003	ってしまった	21	multi	6
1004	治	21	kanji1	1
1005	ンド	21	multi	2
1006	槽	21	kanji1	1
1007	すると	21	multi	3
1008	路	21	kanji1	1
1009	場合	21	multi	2
1010	閉	21	kanji1	1
1011	育	21	kanji1	1
1012	指	21	kanji1	1
1013	ことで	21	multi	3
1014	超	21	kanji1	1
1015	自信	21	multi	2
1016	科学	21	multi	2
1017	つの	21	multi	2
1018	教え	21	multi	2
1019	一年	21	multi	2
1020	起こ	21	multi	2
1021	調べ	21	multi	2
1022	られて	21	multi	3
1023	切り	21	multi	2
1024	面白い	21	multi	3
1025	知って	21	multi	3
1026	上が	21	multi	2
1027	丸	21	kanji1	1
1028	利	21	kanji1	1
1029	彬	21	kanji1	1
1030	ータ	20	multi	2
1031	移	20	kanji1	1
1032	出し	20	multi	2
1033	ター	20	multi	2
1034	土	20	kanji1	1
1035	出した	20	multi	3
1036	右	20	kanji1	1
1037	長い	20	multi	2
1038	聖	20	kanji1	1
1039	加	20	kanji1	1
1040	ありがとうございました	20	multi	11
1041	おく	20	multi	2
1042	十	20	kanji1	1
1043	印	20	kanji1	1
1044	職	20	kanji1	1
1045	しばらく	20	multi	4
1046	あります	20	multi	4
1047	参	20	kanji1	1
1048	してください	20	multi	6
1049	買って	20	multi	3
1050	くなる	20	multi	3
1051	カー	20	multi	2
1052	昼	20	kanji1	1
1053	コーヒー	20	multi	4
1054	とした	20	multi	3
1055	良	20	kanji1	1
1056	くだ	20	multi	2
1057	格	20	kanji1	1
1058	共	20	kanji1	1
1059	かける	20	multi	3
1060	洗	20	kanji1	1
1061	暗	20	kanji1	1
1062	過ぎ	20	multi	2
1063	商	20	kanji1	1
1064	裕	20	kanji1	1
1065	家族	20	multi	2
1066	タン	20	multi	2
1067	届	20	kanji1	1
1068	結構	20	multi	2
1069	角	20	kanji1	1
1070	イル	20	multi	2
1071	トイレ	20	multi	3
1072	ジュ	20	multi	2
1073	バル	19	multi	2
1074	ステ	19	multi	2
1075	脱	19	kanji1	1
1076	突	19	kanji1	1
1077	うちに	19	multi	3
1078	宿	19	kanji1	1
1079	疲	19	kanji1	1
1080	が出	19	multi	2
1081	止め	19	multi	2
1082	一つ	19	multi	2
1083	者は	19	multi	2
1084	動き	19	multi	2
1085	魂	19	kanji1	1
