# step1_0921z: cold ranks 1-1900 of reports/piece_coverage_ranked_2026_09_21.tsv, re-cut against rows_step1_0921_s30k ext_ids; units of 6+ glyphs dropped (no cell or bubble holds them at a readable size)
# piece	count	class	glyphs	ext_id	src_rank
エル	36	multi	2	27695	592
楽しい	36	multi	3	27307	593
もちろん	36	multi	4	26024	595
生き	36	multi	2	26577	596
言われ	36	multi	3	27245	597
しかも	36	multi	3	27364	598
みな	36	multi	2	28479	599
問題	36	multi	2	6832	600
葵	36	kanji1	1	15432	601
それを	35	multi	3	26585	602
はじ	35	multi	2	26858	603
やはり	35	multi	3	26725	604
助け	35	multi	2	28566	605
もいい	35	multi	3	27267	606
さんに	35	multi	3	27351	607
まれ	35	multi	2	25779	608
怖	35	kanji1	1	4658	609
主	35	kanji1	1	282	610
打ち	35	multi	2	27484	611
一番	35	multi	2	7299	613
吉	35	kanji1	1	2256	614
乗	35	kanji1	1	26084	615
つつ	35	multi	2	27027	616
すご	35	multi	2	26073	617
円	35	kanji1	1	272	618
息	35	kanji1	1	99	619
意味	35	multi	2	2613	620
写	35	kanji1	1	680	621
引き	35	multi	2	26350	622
なか	35	multi	2	25762	623
官	35	kanji1	1	1511	624
感じ	35	multi	2	25678	625
宝	35	kanji1	1	1489	626
された	35	multi	3	26170	627
御	35	kanji1	1	3565	628
メン	35	multi	2	26007	629
変わ	35	multi	2	26139	630
とに	34	multi	2	27826	631
いくら	34	multi	3	27917	632
すれば	34	multi	3	26423	633
記	34	kanji1	1	657	634
理由	34	multi	2	4426	635
服	34	kanji1	1	381	636
色	34	kanji1	1	313	637
になり	34	multi	3	25637	638
歳	34	kanji1	1	1287	639
良かった	34	multi	4	27161	640
最初	34	multi	2	4990	641
係	34	kanji1	1	5055	642
料理	34	multi	2	13968	643
るのは	34	multi	3	26806	644
そこに	34	multi	3	27863	645
とな	34	multi	2	25667	646
わからない	34	multi	5	27335	647
前の	34	multi	2	26868	648
退	34	kanji1	1	576	649
英	34	kanji1	1	1073	650
聞き	34	multi	2	27398	651
りました	33	multi	4	26563	652
ガン	33	multi	2	27401	653
させ	33	multi	2	25647	654
質	33	kanji1	1	3554	655
我々	33	multi	2	28515	656
計	33	kanji1	1	1040	657
に行く	33	multi	3	27053	658
刀	33	kanji1	1	3978	660
とりあえず	33	multi	5	28126	661
余	33	kanji1	1	1160	662
王	33	kanji1	1	1539	663
渡	33	kanji1	1	3424	664
そうな	33	multi	3	26648	665
休み	33	multi	2	27480	666
雨	33	kanji1	1	2103	667
悟	33	kanji1	1	2644	668
ので	33	multi	2	25525	669
婆	33	kanji1	1	2628	670
出して	32	multi	3	27422	671
方が	32	multi	2	26317	672
速	32	kanji1	1	1260	673
語	32	kanji1	1	4844	674
曜	32	kanji1	1	21119	675
血	32	kanji1	1	1490	676
草	32	kanji1	1	1887	678
出す	32	multi	2	26653	679
海	32	kanji1	1	570	680
弁	32	kanji1	1	21565	681
議	32	kanji1	1	3840	682
夏	32	kanji1	1	2113	683
くなって	32	multi	4	27044	684
園	32	kanji1	1	3670	685
アン	32	multi	2	26425	686
四	32	kanji1	1	715	687
鐵	32	kanji1	1	10294	688
状	31	kanji1	1	1843	689
やす	31	multi	2	25918	690
望	31	kanji1	1	1430	691
納	31	kanji1	1	10704	692
遊び	31	multi	2	27739	693
猫	31	kanji1	1	2538	694
面	31	kanji1	1	149	695
遊	31	kanji1	1	3813	697
昨日	31	multi	2	7187	698
かる	31	multi	2	25791	699
わた	31	multi	2	27658	700
調	31	kanji1	1	3646	701
新しい	31	multi	3	26549	702
送	31	kanji1	1	298	704
仁	31	kanji1	1	4055	705
なし	30	multi	2	26595	706
冗	30	kanji1	1	21243	707
は何	30	multi	2	27400	708
事故	30	multi	2	2880	709
とって	30	multi	3	25774	710
とても	30	multi	3	26258	712
当然	30	multi	2	5942	713
影	30	kanji1	1	604	714
でお	30	multi	2	27021	715
術	30	kanji1	1	3718	716
ている	30	multi	3	25611	717
大き	30	multi	2	25732	719
なかなか	30	multi	4	26682	720
週	30	kanji1	1	12444	721
事を	30	multi	2	26061	722
悲	30	kanji1	1	2370	723
街	30	kanji1	1	1990	724
病	30	kanji1	1	1387	725
ゆっくり	30	multi	4	28400	727
きれい	30	multi	3	28241	728
いました	30	multi	4	25532	729
鳥	30	kanji1	1	19390	730
している	30	multi	4	25805	731
まして	30	multi	3	27049	732
自分で	29	multi	3	27100	733
日本	29	multi	2	3109	734
だけで	29	multi	3	25891	735
ーム	29	multi	2	25546	736
ですから	29	multi	4	26534	737
静	29	kanji1	1	1631	738
腹	29	kanji1	1	3367	739
井	29	kanji1	1	6097	740
紙	29	kanji1	1	13900	742
断	29	kanji1	1	718	743
さえ	29	multi	2	27270	744
しさ	29	multi	2	27236	745
裏	29	kanji1	1	11095	746
犯	29	kanji1	1	2306	747
姿	29	kanji1	1	2991	748
敵	29	kanji1	1	17472	749
式	29	kanji1	1	163	750
一度	29	multi	2	4763	751
今は	29	multi	2	27509	753
っくり	29	multi	3	26100	755
同	29	kanji1	1	351	757
もらった	29	multi	4	28162	758
プロ	29	multi	2	25877	759
読	29	kanji1	1	1307	760
今まで	29	multi	3	27007	761
傷	29	kanji1	1	9565	762
徹	29	kanji1	1	19337	763
うまく	29	multi	3	27776	764
いっぱい	29	multi	4	27774	765
隊	29	kanji1	1	4779	766
ですが	29	multi	3	25810	767
ヴァ	29	multi	2	27977	768
ファ	28	multi	2	25597	769
ラン	28	multi	2	1231	770
成	28	kanji1	1	20	771
おそ	28	multi	2	28695	772
飲み	28	multi	2	27193	773
必要	28	multi	2	2338	774
モノ	28	multi	2	27916	775
義	28	kanji1	1	3005	776
迷	28	kanji1	1	1677	777
みたいな	28	multi	4	26967	778
さら	28	multi	2	26395	779
ショ	28	multi	2	25777	780
迷惑	28	multi	2	19774	781
をお	28	multi	2	26428	782
食べて	28	multi	3	28147	783
される	28	multi	3	26183	784
パイ	28	multi	2	28076	785
徒	28	kanji1	1	2341	786
早い	28	multi	2	28105	787
これを	28	multi	3	27603	788
立ち	28	multi	2	26613	789
をして	28	multi	3	26437	790
将	28	kanji1	1	394	791
腕	28	kanji1	1	5635	792
打	28	kanji1	1	931	793
新聞	28	multi	2	13711	794
ギャ	27	multi	2	28128	795
のために	27	multi	4	26766	796
と思	27	multi	2	25517	797
夕	27	kanji1	1	3065	798
点	27	kanji1	1	152	799
に出	27	multi	2	26574	800
怪	27	kanji1	1	2292	801
曲	27	kanji1	1	2110	802
フォ	27	multi	2	25765	803
寒	27	kanji1	1	2781	804
起き	27	multi	2	27023	805
ったり	27	multi	3	26495	806
につ	27	multi	2	25822	807
おいしい	27	multi	4	28565	808
盛	27	kanji1	1	1764	809
してくれる	27	multi	5	27147	810
女子	27	multi	2	6340	811
てくれた	27	multi	4	27984	813
浩	27	kanji1	1	4301	814
冬	27	kanji1	1	2026	815
テスト	26	multi	3	28176	816
限	26	kanji1	1	443	818
佐	26	kanji1	1	7929	819
時は	26	multi	2	26879	820
若	26	kanji1	1	2223	821
合い	26	multi	2	26954	822
久	26	kanji1	1	1483	823
ことも	26	multi	3	25741	824
鬼	26	kanji1	1	4061	825
と同じ	26	multi	3	26943	826
無い	26	multi	2	26804	827
武	26	kanji1	1	1752	829
門	26	kanji1	1	4262	830
席	26	kanji1	1	1849	831
あって	26	multi	3	26571	833
魔法	26	multi	2	8081	834
終わり	26	multi	3	27945	835
クラス	26	multi	3	28014	836
課	26	kanji1	1	5237	837
視	26	kanji1	1	3567	838
他の	26	multi	2	26429	839
確かに	26	multi	3	27943	840
集	26	kanji1	1	368	842
以上	26	multi	2	837	843
電	26	kanji1	1	1945	845
若い	26	multi	2	27612	846
球	26	kanji1	1	984	847
授	26	kanji1	1	2019	848
麗	26	kanji1	1	5531	850
源	26	kanji1	1	312	851
こういう	26	multi	4	27428	852
されて	26	multi	3	25903	853
ゲーム	26	multi	3	26412	854
ジェ	25	multi	2	26000	855
落	25	kanji1	1	1415	856
にする	25	multi	3	26817	857
歌	25	kanji1	1	1761	858
んど	25	multi	2	25965	859
あな	25	multi	2	25939	860
産	25	kanji1	1	16457	861
買	25	kanji1	1	4835	862
テン	25	multi	2	26055	863
バレ	25	multi	2	28064	864
うま	25	multi	2	27775	865
決め	25	multi	2	26735	866
入り	25	multi	2	26619	867
終わ	25	multi	2	28683	868
ながら	25	multi	3	26206	869
キレイ	25	multi	3	28599	870
どの	25	multi	2	25785	871
と言	25	multi	2	25651	872
自由	25	multi	2	3997	873
龍	25	kanji1	1	8428	874
ジャ	25	multi	2	25754	875
それでも	25	multi	4	27611	876
熱	25	kanji1	1	7103	877
哲	25	kanji1	1	4632	878
しかない	25	multi	4	28161	879
町	25	kanji1	1	21189	880
ダン	25	multi	2	27274	881
松	25	kanji1	1	2248	882
ッド	24	multi	2	26385	883
波	24	kanji1	1	1883	884
界	24	kanji1	1	1299	885
どんどん	24	multi	4	28243	886
リン	24	multi	2	26004	887
素	24	kanji1	1	851	888
美しい	24	multi	3	28261	889
人に	24	multi	2	26456	890
もある	24	multi	3	26319	891
思った	24	multi	3	27926	892
ことがある	24	multi	5	28131	893
しましょう	24	multi	5	27055	894
驚	24	kanji1	1	10571	895
匹	24	kanji1	1	3623	896
スター	24	multi	3	26802	897
告	24	kanji1	1	612	898
女の	24	multi	2	27869	899
なくな	24	multi	3	26136	900
デート	24	multi	3	28354	901
京	24	kanji1	1	436	902
大きい	24	multi	3	27583	903
話を	24	multi	2	26993	904
士	24	kanji1	1	1388	905
オン	24	multi	2	26052	906
をする	24	multi	3	26330	907
階	24	kanji1	1	5803	908
ために	24	multi	3	25656	909
ワイ	24	multi	2	27405	910
お客	24	multi	2	26597	911
居	24	kanji1	1	1533	912
衛	24	kanji1	1	13639	913
まだまだ	24	multi	4	28233	914
飯	24	kanji1	1	5398	915
トル	24	multi	2	27574	916
大海	24	multi	2	9908	917
坂	24	kanji1	1	21133	918
道士	24	multi	2	4340	919
桐	24	kanji1	1	8551	920
に行って	23	multi	4	27313	921
事が	23	multi	2	26841	922
