row	stem	box	det_score	engine	kind_rec	text_rec	kind_hand	text_hand	status	src_row	note
67	10985746	[196, 735, 320, 788]	0.7135	animetext+sfx_reader	speech	たぷん♥	sfx	たぷん♡	drafted		opus: kind changed: no bubble
68	10985746	[424, 763, 545, 829]	0.4163	animetext+sfx_reader	sfx	びく	sfx	びく♡	drafted		
69	10989351	[630, 124, 725, 165]	0.6855	animetext+sfx_reader	sfx	ぐくん	sfx	びく♡	drafted		
70	10989351	[690, 193, 784, 260]	0.495	animetext+sfx_reader	sfx	びく♡	sfx	びく♡	drafted		D1 hand pass #9 real_text=y
71	10989351	[1084, 222, 1319, 488]	0.9097	animetext+sfx_reader	sfx	パンッ♥	sfx	パンッ♡ パンッ♡	drafted		opus: two blocks
72	10989351	[186, 356, 230, 426]	0.8336	animetext+sfx_reader	speech	はぁ♡	sfx	はぁ♡	drafted		opus: kind changed: no bubble
73	10992018	[102, 129, 233, 460]	0.9645	animetext+sfx_reader	speech	おじさんちんぽで気持ちよくなるわけないです!	speech	おじさLちLぽで 気持ちよくなるわけ ないです！	checked	26	
74	10992018	[762, 393, 810, 503]	0.786	animetext+sfx_reader	sfx	ぺく♡	sfx	びく♡	drafted		
75	10992018	[279, 427, 334, 543]	0.7062	animetext+sfx_reader	sfx	ぴくく♡	sfx	びくく♡	drafted		
76	10992018	[154, 547, 202, 664]	0.5915	animetext+sfx_reader	speech	へこ♡	sfx	へこ♡	drafted		D1 hand pass #10 real_text=y; opus: kind changed: no bubble
77	10992018	[88, 585, 130, 706]	0.4464	animetext+sfx_reader	speech	へこ♡	sfx	へこ♡	drafted		opus: kind changed: no bubble
78	10992018	[602, 651, 635, 764]	0.6892	animetext+sfx_reader	sfx	ウイ	sfx	クイ♡	drafted	25	split 2 ways from old #25 (hand: クイ クイ♡); uncertain: small ァ; hearts
79	10992018	[646, 684, 683, 802]	0.5708	animetext+sfx_reader	sfx	クイ♡	sfx	クイ♡	drafted	25	split 2 ways from old #25 (hand: クイ クイ♡); uncertain: small ァ; hearts
80	10992018	[284, 865, 304, 943]	0.2799	animetext+sfx_reader	sfx	スリ♡	sfx	スリ♡	drafted		
81	10992018	[255, 893, 278, 974]	0.5321	animetext+sfx_reader	sfx	スリ♡	sfx	スリ♡	drafted		
82	10996697	[73, 14, 198, 69]	0.7108	animetext+sfx_reader	sfx	びくと	sfx	びく♡	drafted		opus: final mark is a heart (machine read と)
83	10996697	[529, 123, 576, 215]	0.8873	animetext+sfx_reader	sfx	びく♡	sfx	びく♡	drafted	27	split 2 ways from old #27 (hand: びく♡ ガク♡); two words in one box
84	10996697	[609, 158, 671, 279]	0.8927	animetext+sfx_reader	sfx	ガク♥	sfx	ガク♡	drafted	27	split 2 ways from old #27 (hand: びく♡ ガク♡); two words in one box
85	10996697	[793, 531, 866, 736]	0.3782	animetext+sfx_reader	sfx	パンッ	sfx	パンッ	drafted		opus: heart is outside the box
86	10996697	[201, 549, 253, 710]	0.5523	animetext+sfx_reader	speech	おっ?	speech	おっ？	drafted	28	split 2 ways from old #28 (hand: おっ おっ？); opus: kind changed: no bubble; opus kind sfx reverted to user speech
87	10996697	[692, 579, 781, 840]	0.3393	animetext+sfx_reader	sfx	パンッ♥	sfx	パンッ♡	drafted		
88	10996697	[265, 589, 302, 683]	0.7777	animetext+sfx_reader	speech	おっ♡	speech	おっ♡	drafted	28	split 2 ways from old #28 (hand: おっ おっ？); opus: kind changed: no bubble; opus kind sfx reverted to user speech
89	10996697	[126, 642, 186, 768]	0.8238	animetext+sfx_reader	speech	おっ♥	sfx	おっ♡	drafted		opus: kind changed: no bubble
90	10996697	[53, 728, 120, 911]	0.821	animetext+sfx_reader	sfx	ぐかッ♥	sfx	イグッ♡	drafted	30	split 2 ways from old #30 (hand: イグッ♡); neighbour glyph clipped
91	10996697	[69, 746, 112, 863]	0.3897	animetext+sfx_reader	sfx	ドクッ	sfx	イグッ	drafted	30	split 2 ways from old #30 (hand: イグッ♡); neighbour glyph clipped; opus: box nested inside #90; heart outside the box
92	10996697	[802, 803, 911, 1135]	0.5834	animetext+sfx_reader	sfx	パンッ	sfx	パンッ♡	drafted		
93	10996697	[178, 805, 237, 979]	0.8499	animetext+sfx_reader	speech	おっ~♡	speech	おっ~♡	drafted	29	split 2 ways from old #29 (hand: おっっ おおが); opus: kind changed: no bubble; opus kind sfx reverted to user speech
94	10996697	[114, 911, 165, 1056]	0.7579	animetext+sfx_reader	speech	おおお	speech	おおお	drafted	29	split 2 ways from old #29 (hand: おっっ おおが); opus: kind changed: no bubble; a heart may be clipped at the right edge; opus kind sfx reverted to user speech
95	11241175	[825, 25, 854, 457]	0.8952	animetext+sfx_reader	speech	センパイ♡おなほの準備ができました♡	speech	センパイおなほの準備ができました	checked	31	
96	11241175	[169, 72, 227, 702]	0.8925	animetext+sfx_reader	speech	だいぶらしくなってきたじゃねえかおら、はやくこっちこい、たっぷり可愛がってやる	speech	だいぶらしくなってきたじゃねえか おら、はやくこっちこい、たっぷり可愛がってやる	checked	33	
97	11241175	[83, 96, 142, 601]	0.8741	animetext+sfx_reader	speech	はい♥早くセンパイのおちんちんが欲しいです♥	speech	はい♡早くセンパイのおちんちんが欲しいです♡	drafted	34	box moved iou=0.47 from old #34; opus: typeset dialogue, no bubble
98	11241175	[767, 215, 797, 574]	0.9036	animetext+sfx_reader	speech	今日もいっぱい使ってください♡	speech	今日もいっぱい使ってください	checked	32	
99	11241175	[257, 352, 283, 430]	0.9023	animetext+sfx_reader	sfx	ガク♥	sfx	ガク♡	drafted		
100	11241175	[716, 427, 740, 502]	0.8993	animetext+sfx_reader	sfx	ガク♡	sfx	ガク♡	drafted		
101	11241175	[731, 615, 799, 652]	0.6515	animetext+sfx_reader	sfx	びく♡	sfx	びく♡	drafted		
102	11241175	[206, 658, 243, 725]	0.6898	animetext+sfx_reader	sfx	びく♡	sfx	びく♡	drafted		
103	11255282	[731, 130, 780, 564]	0.9017	animetext+sfx_reader	speech	おい、こんなに汁垂らしてイきまくりやがって何お前だけ気持ち良くなってんだ!	speech	おいこんなに汁垂らしてイきまくりやがって 何お前だけ気持ち良くなってんだ！	checked	35	
104	11255282	[109, 131, 159, 566]	0.872	animetext+sfx_reader	speech	このドマゾの雌猫オナホがっ!俺を気持ちよくさせることだけ考えろ!はぁああん♡しぇんぱいっ・・	speech	このドマゾの雌猫オナホがっ！ 俺を気持ちよくさせることだけ考えろ！	checked	38	
105	11255282	[39, 228, 90, 681]	0.9153	animetext+sfx_reader	speech	はぁああん♥しぇんぱいっ・・乱暴にしないでくだしゃああい・・・・♡	speech	はぁああんしぇんぱいっ： 乱暴にしないでくだしゃああい・♡♡	checked	39	
106	11255282	[653, 372, 680, 651]	0.3377	animetext+sfx_reader	speech	おっおおおっ♡いいっ♡	speech	おっおおおっ♡いいっ♡	drafted	37	box moved iou=0.24 from old #37; opus: typeset; the ・・・ belongs to the neighbouring column
107	11255282	[165, 444, 198, 607]	0.8749	animetext+sfx_reader	sfx	ガクガク・・・	sfx	ガクガク・・・	draft		opus: dot count uncertain
108	11255282	[1, 655, 176, 948]	0.6404	animetext+sfx_reader	sfx	パン	sfx	パン	drafted		
109	11255282	[660, 753, 738, 799]	0.5611	animetext+sfx_reader	sfx	びく♡	sfx	びく♡	checked	36	
110	11453476	[89, 76, 199, 464]	0.9633	animetext+sfx_reader	speech	私の頭の中は快楽でいっぱいになったお腹がじんわりと熱くなるのを感じる「花奈、愛してるよ。」彼がつぶやいた。	speech	私の頭の中は快楽でいっぱいになった お腹がじんわりと熱くなるのを感じる 「花奈、愛してるよ。」 彼がつぶやいた。	checked	43	
111	11453476	[829, 77, 911, 383]	0.9648	animetext+sfx_reader	speech	「花奈...!花奈...!」彼が名前を呼ぶたびに私の身体も興奮して熱くなる。	speech	「花奈・！花奈……！」 彼が名前を呼ぶたびに 私の身体も興奮して熱くなる。	checked	40	
112	11453476	[832, 471, 913, 933]	0.9564	animetext+sfx_reader	speech	「花奈...!出る、出るよっ!」彼のピストンが早くなり、何度もイってしまう「あんっああっああん、中に...出してぇ!!」	speech	「花奈…・！出る、出るよっ！」 彼のピストンが早くなり、何度もイってしまう 「あんっああっああん中に・出してぇ！！」	checked	41	
113	11453476	[92, 608, 122, 855]	0.6523	animetext+sfx_reader	speech	王人公を自分に	speech	主人公を自分に	drafted	44	split 2 ways from old #44 (hand: 王人公を自分に 置ォ換んるタイプ); opus: kind changed: handwritten margin caption, no bubble; 主 not 王; opus kind chrome reverted to user speech
114	11453476	[40, 636, 71, 901]	0.5321	animetext+sfx_reader	speech	置ィ換えるタイプ	speech	置き換えるタイプ	drafted	44	split 2 ways from old #44 (hand: 王人公を自分に 置ォ換んるタイプ); opus: kind changed: handwritten margin caption; き written small; opus kind chrome reverted to user speech
115	11453476	[382, 1029, 474, 1078]	0.7176	animetext+sfx_reader	sfx	くちゅ♥	sfx	くちゅ♡	checked	42	
116	11458307	[816, 56, 883, 366]	0.942	animetext+sfx_reader	speech	來吧花奈醬跟著大叔我複誦一遍~♡	speech	來吧花奈醬 跟著大叔我複誦一遍～	checked	45	
117	11458307	[689, 57, 724, 229]	0.9338	animetext+sfx_reader	speech	來、說說看♡	speech	來、說說看	checked	47	
118	11458307	[753, 58, 788, 406]	0.9055	animetext+sfx_reader	speech	大肉棒好好吃、阿伊嗚歎喔	speech	大肉棒好好吃、阿伊嗚欸喔	checked	46	
119	11458307	[641, 281, 711, 516]	0.9451	animetext+sfx_reader	speech	大露棒、豪豪吃♡啊咿呼嘿厚♡	speech	大露棒、豪豪吃 啊咿呼嘿厚	checked	48	
120	11458307	[38, 391, 140, 898]	0.9542	animetext+sfx_reader	speech	嗯~完全聽不懂呢但是很可愛所以過關獎勵就是等下會好好疼愛你喲	speech	嗯～完全聽不懂呢 但是很可愛所以過關 獎勵就是等下會好好疼愛你喲	checked	49	
121	11458307	[422, 629, 452, 658]	0.4877	animetext+sfx_reader	speech	はは	speech	はな	drafted		opus: in a paw-shaped bubble; second glyph な
122	11467791	[712, 36, 907, 340]	0.959	animetext+sfx_reader	speech	春山花奈ちゃんへ夢田舎の島から此方のすももが丘高校へ通学中朗読が大好きで放送部に所属している。	speech	春山花奈ちゃんへ 田舎の島から此方の すももが丘高校へ通学中 朗読が大好きで放送部に 所属している。	draft	50	box moved iou=0.39 from old #50; old #51 fragment inside: 朗読が大好きで放送部に 所属している。; opus: narration box; one inked/illegible glyph after へ omitted; columns joined with spaces
123	11467791	[726, 54, 781, 312]		hand_only	speech	朗読が大好きで放送部に 所属している。	speech	朗読が大好きで放送部に 所属している。	unchecked	51	no AnimeText record covers this old box
124	11467791	[228, 370, 325, 725]	0.7936	animetext+sfx_reader	speech	中学2年のころに初オナニー、特に官能小説を朗読しながらあそこをいじるのが大好きらしい	speech	中学2年のころに初オナニー 特に官能小説を朗読しながら あそこをいじるのが大好きらしい	checked	52	
125	11467791	[108, 481, 217, 856]	0.9275	animetext+sfx_reader	speech	大人しいように見えても中身はドスケベな花奈ちゃん♡かなり緊張しているようだがそれも初々しくて可愛い♡	speech	大人しいように見えても中身は ドスケべな花奈ちゃん かなり緊張しているようだがそれも 初々しくて可愛い	checked	53	
126	11467791	[30, 619, 103, 997]	0.7206	animetext+sfx_reader	speech	今日は初体験♥どんな声で喘いでくれるか楽しみ♥	speech	今日は初体験 どんな声で喘いでくれるか楽しみ	checked	54	
127	11561455	[248, 54, 295, 207]	0.8513	animetext+sfx_reader	speech	はぁんっ♥	speech	はちんっ	checked	56	
128	11561455	[296, 373, 347, 473]	0.9002	animetext+sfx_reader	sfx	びく♡	sfx	びく♡	drafted		
129	11561455	[0, 751, 144, 1132]	0.9322	animetext+sfx_reader	sfx	パン♥パン♥	sfx	パン♡ パン♡	drafted		opus: two blocks
130	11561455	[687, 855, 759, 1074]	0.3789	animetext+sfx_reader	sfx	ドチュ	sfx	ドチュ	drafted	55	split 2 ways from old #55 (hand: ドチュ♡ ドチュ♡); opus: hearts are outside the box
131	11561455	[591, 943, 656, 1096]	0.4595	animetext+sfx_reader	sfx	ドチュ	sfx	ドチュ	drafted	55	split 2 ways from old #55 (hand: ドチュ♡ ドチュ♡); opus: hearts are outside the box
132	11664854	[172, 31, 219, 312]	0.9259	animetext+sfx_reader	speech	毎週1回私とエッチしてくれるだけでいいんだ	speech	毎週１回私とエッチ してくれるだけでいいんだ	checked	60	
133	11664854	[1030, 91, 1077, 405]	0.9391	animetext+sfx_reader	speech	こんなことまでやらせといてそれ本当でしょうね!カウンター長!	speech	こんなことまでやらせといて それ本当でしょうね！カウンター長！	checked	58	
134	11664854	[83, 96, 152, 428]	0.751	animetext+sfx_reader	speech	それだけで君には毎月5回の特別休暇、それと賞与もアップさせよう。	speech	それだけで君には 毎月5回の特別休暇 それと賞与もアップさせよう。	checked	61	
135	11664854	[174, 427, 221, 778]	0.9383	animetext+sfx_reader	speech	それ絶対よ!あと残業も減らすように上に掛け合って!!	speech	それ絶対よ！ あと残業も減らすように上に掛け合って!!	checked	59	
136	11664854	[1045, 477, 1093, 846]	0.9359	animetext+sfx_reader	speech	ああ、ほんとだともアリナ君はいつも頑張ってくれてるからねぇ	speech	ああ、ほんとだとも アリナ君はいつも頑張ってくれてるからねぇ	checked	57	
137	11664854	[49, 494, 119, 847]	0.9384	animetext+sfx_reader	speech	しょうがないねぇじゃあ私を気持ちよくしてくれたら考えてあげよう	speech	しょうがないねぇ じゃあ私を気持ちよくしてくれたら 考えてあげよう	checked	62	
138	11668203	[434, 25, 495, 228]	0.9483	animetext+sfx_reader	speech	あーもう、うっさい早く終わりなさいよ	speech	あーもううっさい 早く終わりなさいよ	checked	66	
139	11668203	[53, 28, 131, 307]		hand_only	speech	あっそこ… ・…・最悪なんでこんな セックス上手いわけ…?	speech	あっそこ… ・…・最悪なんでこんな セックス上手いわけ…?	unchecked	69	no AnimeText record covers this old box
140	11668203	[1185, 37, 1267, 391]	0.9513	animetext+sfx_reader	speech	アリナくん、いやアリナちゃん~きもちいよぉ♡あーすっごいねぇ...♡	speech	アリナくん いやアリナちゃん～きもちいよぉ あーすっごいねぇ…・	checked	63	
141	11668203	[1021, 47, 1080, 406]	0.9465	animetext+sfx_reader	speech	でっかいお乳ブルンブルン揺らして興奮しちゃうよ♥	speech	でっかいお乳ブルンブルン揺らして 興奮しちゃうよ	checked	64	
142	11668203	[133, 432, 189, 728]	0.932	animetext+sfx_reader	speech	こんなおっさんのちんぽでイっちゃいそうなんて...♥♥	speech	こんなおっさんのちんぽで イっちゃいそうなんて…	checked	68	
143	11668203	[686, 516, 779, 766]	0.9614	animetext+sfx_reader	speech	はぁはぁ♥アリナちゃん射精そうだよ中に出していいかな?	speech	はぁはぁアリナちゃん 射精そうだよ 中に出していいかな？	checked	65	
144	11668203	[22, 588, 61, 735]	0.9163	animetext+sfx_reader	speech	あ~、イく♥	speech	あ～、イく♡	checked	70	
145	11668203	[396, 606, 457, 764]	0.9532	animetext+sfx_reader	speech	返事がないね♥OKってことかな	speech	返事がないね Kってことかな	checked	67	
146	11684439	[808, 4, 927, 295]	0.8952	animetext+sfx_reader	speech	カウンター長(おじさん)とエッチしたその夜	speech	カウンター長（おじさん） とエッチしたその夜	drafted	71	box moved iou=0.44 from old #71; opus: narration box; columns joined with a space
147	11684439	[272, 67, 331, 169]	0.7497	animetext+sfx_reader	sfx	びく☆	sfx	びく♡	drafted		opus: final mark is a heart, not ☆
148	11684439	[116, 76, 193, 377]		hand_only	speech	あぁでっかいちんぽほしい また挿れてほしい こんなんじゃ満足できない・	speech	あぁでっかいちんぽほしい また挿れてほしい こんなんじゃ満足できない・	unchecked	74	no AnimeText record covers this old box
149	11684439	[723, 158, 769, 253]	0.821	animetext+sfx_reader	sfx	びくし	sfx	びく♡	drafted		
150	11684439	[755, 310, 807, 649]	0.9479	animetext+sfx_reader	speech	あーもう。オナニー止まんない...明日仕事なのに...	speech	あーもうオナニー止まんない… 明日仕事なのに	checked	72	
151	11684439	[98, 524, 151, 744]		hand_only	speech	おちんぽほしい： おちんぽ・・おちんぽ・	speech	おちんぽほしい： おちんぽ・・おちんぽ・	unchecked	75	no AnimeText record covers this old box
152	11684439	[725, 797, 775, 1049]	0.9439	animetext+sfx_reader	speech	全部あいつのせい...うぅ、思い出しちゃう...♥	speech	全部あいつのせい： うう、思い出しちゃう…	checked	73	
153	11684439	[349, 953, 382, 1046]	0.6682	animetext+sfx_reader	sfx	くちゅ♡	sfx	くちゅ♡	drafted		
154	11684439	[596, 962, 628, 1054]	0.7701	animetext+sfx_reader	sfx	くちゅ♡	sfx	くちゅ♡	drafted		
155	11822164	[503, 85, 555, 175]	0.8672	animetext+sfx_reader	sfx	ずっ♥	sfx	ずっ	drafted		opus: decorative hearts around the blob not transcribed
156	11822164	[45, 148, 93, 240]	0.4747	animetext+sfx_reader	speech	あ゙っ	sfx	あ゙っ	drafted		opus: kind changed: halo blob, not a bubble; decorative hearts not transcribed
